order_id,product_id,product_category,price,is_first_time_customer,order_day_of_week,returned
ORD-1000,P-100,Engine,34.18,0,4,0
ORD-1001,P-101,Exhaust,54.07,1,0,0
ORD-1002,P-102,Brakes,46.28,0,6,0
ORD-1003,P-103,Filters,12.39,0,5,0
ORD-1004,P-104,Electronics,28.15,0,4,0
ORD-1005,P-105,Exhaust,27.21,0,5,0
ORD-1006,P-106,Filters,60.38,0,2,0
ORD-1007,P-107,Engine,33.89,0,6,0
ORD-1008,P-108,Engine,50.09,1,6,0
ORD-1009,P-109,Suspension,22.36,0,5,0
ORD-1010,P-110,Engine,77.14,1,6,1
ORD-1011,P-111,Brakes,10.47,1,0,0
ORD-1012,P-112,Engine,54.79,0,2,0
ORD-1013,P-113,Filters,30.34,1,6,1
ORD-1014,P-114,Suspension,17.8,0,3,0
ORD-1015,P-115,Suspension,42.11,0,2,0
ORD-1016,P-116,Electronics,47.05,0,4,1
ORD-1017,P-117,Exhaust,87.38,0,4,0
ORD-1018,P-118,Engine,62.15,0,1,1
ORD-1019,P-119,Filters,122.77,1,2,0
ORD-1020,P-120,Engine,33.84,0,5,0
ORD-1021,P-121,Brakes,7.91,0,6,0
ORD-1022,P-122,Brakes,43.49,0,4,0
ORD-1023,P-123,Brakes,60.35,0,5,0
ORD-1024,P-124,Brakes,61.61,1,4,0
ORD-1025,P-125,Engine,42.25,0,3,0
ORD-1026,P-126,Suspension,12.44,0,1,0
ORD-1027,P-127,Suspension,29.0,0,0,0
ORD-1028,P-128,Electronics,31.54,1,4,0
ORD-1029,P-129,Suspension,35.43,0,2,0
ORD-1030,P-130,Exhaust,26.27,1,5,0
ORD-1031,P-131,Electronics,54.34,0,6,0
ORD-1032,P-132,Suspension,20.41,0,2,0
ORD-1033,P-133,Brakes,49.61,1,0,0
ORD-1034,P-134,Engine,104.91,1,0,0
ORD-1035,P-135,Suspension,97.29,0,0,0
ORD-1036,P-136,Electronics,39.99,0,0,0
ORD-1037,P-137,Electronics,34.09,0,1,0
ORD-1038,P-138,Suspension,36.32,1,5,0
ORD-1039,P-139,Electronics,129.12,1,3,1
ORD-1040,P-140,Brakes,20.79,0,2,0
ORD-1041,P-141,Suspension,16.69,0,0,0
ORD-1042,P-142,Electronics,37.73,1,5,0
ORD-1043,P-143,Electronics,22.72,1,2,0
ORD-1044,P-144,Exhaust,56.32,0,5,0
ORD-1045,P-145,Exhaust,74.54,0,4,0
ORD-1046,P-146,Brakes,44.89,0,3,0
ORD-1047,P-147,Suspension,49.6,1,0,1
ORD-1048,P-148,Brakes,37.68,0,0,0
ORD-1049,P-149,Electronics,53.26,0,3,0
ORD-1050,P-150,Suspension,86.44,1,1,0
ORD-1051,P-151,Engine,94.85,1,4,0
ORD-1052,P-152,Brakes,56.9,0,3,0
ORD-1053,P-153,HVAC,43.17,1,3,0
ORD-1054,P-154,Electronics,79.43,0,3,0
ORD-1055,P-155,Brakes,114.62,0,6,0
ORD-1056,P-156,Suspension,35.56,0,6,0
ORD-1057,P-157,Exhaust,116.56,1,1,1
ORD-1058,P-158,Filters,124.08,1,2,0
ORD-1059,P-159,Filters,37.46,0,6,0
ORD-1060,P-160,Exhaust,138.82,0,3,0
ORD-1061,P-161,Exhaust,49.55,1,3,0
ORD-1062,P-162,HVAC,60.6,0,2,0
ORD-1063,P-163,Filters,34.26,0,3,0
ORD-1064,P-164,HVAC,29.61,0,0,0
ORD-1065,P-165,Filters,44.46,0,2,0
ORD-1066,P-166,Brakes,62.79,0,0,0
ORD-1067,P-167,Filters,118.05,0,6,0
ORD-1068,P-168,Exhaust,38.61,0,4,0
ORD-1069,P-169,Electronics,96.36,0,2,0
ORD-1070,P-170,HVAC,12.26,0,3,0
ORD-1071,P-171,Exhaust,40.62,1,2,0
ORD-1072,P-172,Electronics,64.82,0,1,0
ORD-1073,P-173,Electronics,29.01,1,0,0
ORD-1074,P-174,Engine,30.64,0,4,0
ORD-1075,P-175,Brakes,29.0,0,6,1
ORD-1076,P-176,Suspension,29.19,0,5,0
ORD-1077,P-177,Brakes,54.95,0,6,0
ORD-1078,P-178,Suspension,9.87,0,6,0
ORD-1079,P-179,Electronics,34.18,0,5,1
ORD-1080,P-180,Filters,23.64,0,0,0
ORD-1081,P-181,Electronics,11.31,1,5,0
ORD-1082,P-182,Suspension,88.29,0,1,1
ORD-1083,P-183,Exhaust,50.16,0,5,0
ORD-1084,P-184,Brakes,54.83,0,4,0
ORD-1085,P-185,Exhaust,26.4,1,3,0
ORD-1086,P-186,Suspension,21.58,0,6,0
ORD-1087,P-187,Brakes,42.46,0,0,0
ORD-1088,P-188,Brakes,35.45,0,5,0
ORD-1089,P-189,Filters,13.4,1,2,0
ORD-1090,P-190,Engine,20.47,0,3,0
ORD-1091,P-191,Suspension,121.84,0,0,0
ORD-1092,P-192,Suspension,31.44,0,2,0
ORD-1093,P-193,Brakes,52.21,1,6,0
ORD-1094,P-194,Filters,37.99,0,4,0
ORD-1095,P-195,Exhaust,33.04,0,5,0
ORD-1096,P-196,Engine,82.32,1,3,0
ORD-1097,P-197,Filters,78.42,0,1,0
ORD-1098,P-198,Brakes,38.09,0,1,0
ORD-1099,P-199,Electronics,31.97,1,1,1
ORD-1100,P-200,Suspension,18.03,1,3,0
ORD-1101,P-201,Electronics,304.93,0,4,0
ORD-1102,P-202,Exhaust,30.54,0,5,0
ORD-1103,P-203,Exhaust,35.75,0,0,1
ORD-1104,P-204,Electronics,43.95,0,5,0
ORD-1105,P-205,Exhaust,43.93,0,0,0
ORD-1106,P-206,Electronics,74.77,1,5,0
ORD-1107,P-207,Filters,51.1,0,4,0
ORD-1108,P-208,Brakes,49.18,0,6,0
ORD-1109,P-209,Engine,14.94,0,3,0
ORD-1110,P-210,Exhaust,61.79,0,3,0
ORD-1111,P-211,Filters,27.82,0,2,0
ORD-1112,P-212,Brakes,28.55,0,2,0
ORD-1113,P-213,HVAC,37.64,1,3,0
ORD-1114,P-214,Brakes,32.67,0,3,0
ORD-1115,P-215,Engine,13.13,1,2,0
ORD-1116,P-216,Exhaust,34.31,0,5,0
ORD-1117,P-217,Filters,40.82,0,3,0
ORD-1118,P-218,Suspension,36.8,1,2,0
ORD-1119,P-219,Suspension,116.65,1,2,0
ORD-1120,P-220,Suspension,27.96,1,6,0
ORD-1121,P-221,Exhaust,31.92,0,0,0
ORD-1122,P-222,Exhaust,15.91,0,0,0
ORD-1123,P-223,Engine,32.94,0,5,0
ORD-1124,P-224,Engine,161.06,0,6,0
ORD-1125,P-225,Engine,51.77,0,6,0
ORD-1126,P-226,Brakes,40.04,0,4,0
ORD-1127,P-227,Electronics,88.59,0,2,0
ORD-1128,P-228,Suspension,23.63,0,4,0
ORD-1129,P-229,Brakes,49.66,0,6,0
ORD-1130,P-230,Filters,53.3,1,6,1
ORD-1131,P-231,Filters,21.33,1,4,0
ORD-1132,P-232,Brakes,40.22,1,3,1
ORD-1133,P-233,Engine,21.15,1,4,1
ORD-1134,P-234,Filters,95.59,0,1,0
ORD-1135,P-235,Suspension,32.84,0,3,0
ORD-1136,P-236,Engine,48.8,1,0,0
ORD-1137,P-237,Exhaust,25.67,0,2,0
ORD-1138,P-238,Engine,217.94,0,5,0
ORD-1139,P-239,Engine,46.65,1,2,0
ORD-1140,P-240,Electronics,38.94,0,2,0
ORD-1141,P-241,Electronics,14.27,0,6,1
ORD-1142,P-242,Filters,14.8,1,6,0
ORD-1143,P-243,Suspension,121.0,0,2,0
ORD-1144,P-244,Filters,30.59,0,3,0
ORD-1145,P-245,Engine,69.45,1,3,1
ORD-1146,P-246,Suspension,15.94,0,6,0
ORD-1147,P-247,Engine,14.08,0,1,0
ORD-1148,P-248,Brakes,33.77,0,3,0
ORD-1149,P-249,Filters,66.99,1,6,0
ORD-1150,P-250,HVAC,54.81,0,3,0
ORD-1151,P-251,Electronics,40.35,1,0,0
ORD-1152,P-252,Engine,75.63,0,6,0
ORD-1153,P-253,Electronics,82.79,0,6,1
ORD-1154,P-254,Electronics,26.31,0,0,0
ORD-1155,P-255,Brakes,51.08,0,4,0
ORD-1156,P-256,Suspension,62.62,0,3,0
ORD-1157,P-257,HVAC,35.75,0,5,1
ORD-1158,P-258,Engine,21.07,1,3,0
ORD-1159,P-259,Engine,71.77,0,2,0
ORD-1160,P-260,Engine,27.33,1,5,0
ORD-1161,P-261,Engine,25.24,0,4,0
ORD-1162,P-262,Brakes,35.01,0,4,0
ORD-1163,P-263,Engine,85.28,1,1,1
ORD-1164,P-264,Suspension,27.45,0,1,0
ORD-1165,P-265,HVAC,68.69,1,5,0
ORD-1166,P-266,Filters,29.75,0,1,0
ORD-1167,P-267,Filters,35.7,1,6,0
ORD-1168,P-268,Brakes,48.26,0,6,0
ORD-1169,P-269,Electronics,135.79,0,5,0
ORD-1170,P-270,Exhaust,17.5,0,1,0
ORD-1171,P-271,HVAC,38.6,0,5,0
ORD-1172,P-272,Brakes,42.58,0,0,1
ORD-1173,P-273,Engine,10.43,0,3,0
ORD-1174,P-274,HVAC,36.18,0,3,0
ORD-1175,P-275,Brakes,34.82,0,6,0
ORD-1176,P-276,Brakes,64.83,0,4,0
ORD-1177,P-277,Engine,18.09,0,6,0
ORD-1178,P-278,Engine,22.23,0,2,0
ORD-1179,P-279,Electronics,69.83,1,5,1
ORD-1180,P-280,Exhaust,54.06,0,4,0
ORD-1181,P-281,Electronics,78.81,0,5,1
ORD-1182,P-282,Brakes,135.44,1,5,0
ORD-1183,P-283,Engine,170.62,0,5,0
ORD-1184,P-284,Electronics,88.52,0,5,0
ORD-1185,P-285,Filters,19.75,0,6,0
ORD-1186,P-286,Brakes,31.34,0,5,0
ORD-1187,P-287,Electronics,30.17,0,1,0
ORD-1188,P-288,Filters,76.3,1,0,0
ORD-1189,P-289,Engine,51.63,1,1,0
ORD-1190,P-290,Brakes,28.29,0,4,0
ORD-1191,P-291,Suspension,36.78,0,6,0
ORD-1192,P-292,Electronics,23.6,1,0,0
ORD-1193,P-293,Engine,40.0,0,4,0
ORD-1194,P-294,Electronics,48.23,1,4,0
ORD-1195,P-295,Filters,86.47,1,3,0
ORD-1196,P-296,Electronics,57.38,0,5,0
ORD-1197,P-297,Brakes,79.18,0,0,0
ORD-1198,P-298,HVAC,36.85,0,5,0
ORD-1199,P-299,Brakes,68.55,0,3,0
ORD-1200,P-100,Exhaust,29.11,0,0,0
ORD-1201,P-101,Brakes,129.17,0,2,0
ORD-1202,P-102,Brakes,19.8,0,4,0
ORD-1203,P-103,Brakes,33.35,0,2,0
ORD-1204,P-104,Electronics,38.66,0,0,0
ORD-1205,P-105,Suspension,173.72,0,0,0
ORD-1206,P-106,Engine,14.28,1,0,0
ORD-1207,P-107,Brakes,117.1,1,3,0
ORD-1208,P-108,Electronics,44.58,0,4,0
ORD-1209,P-109,Brakes,57.74,0,1,0
ORD-1210,P-110,Suspension,36.7,1,3,0
ORD-1211,P-111,Exhaust,20.84,0,2,0
ORD-1212,P-112,Brakes,84.48,0,6,0
ORD-1213,P-113,Suspension,15.79,0,1,0
ORD-1214,P-114,Engine,88.04,1,5,0
ORD-1215,P-115,Engine,80.29,0,0,0
ORD-1216,P-116,Electronics,49.56,1,6,0
ORD-1217,P-117,Exhaust,116.62,1,3,0
ORD-1218,P-118,HVAC,41.89,0,6,0
ORD-1219,P-119,Electronics,67.14,1,0,0
ORD-1220,P-120,Suspension,17.71,0,2,0
ORD-1221,P-121,Brakes,25.73,0,5,0
ORD-1222,P-122,Filters,79.57,1,1,0
ORD-1223,P-123,Engine,76.3,1,6,0
ORD-1224,P-124,Engine,12.39,1,2,0
ORD-1225,P-125,HVAC,14.07,0,3,1
ORD-1226,P-126,Electronics,31.31,0,6,0
ORD-1227,P-127,Electronics,88.72,0,1,0
ORD-1228,P-128,Exhaust,43.71,0,5,0
